Timestamp,X,Y,Z,Objtemp,AmbientTemp
2015:12:01:19:43:58,-0.1,0.1,1,20.5,23.1
2015:12:01:19:43:58,-0.1,0.1,1,20.5,23.1
2015:12:01:19:43:58,-0.1,0.1,1,20.5,23.1
2015:12:01:19:43:58,-0.1,0.1,1,20.5,23.1
2015:12:01:19:43:58,-0.1,0.1,1,20.5,23.1
2015:12:01:19:43:58,-0.1,0.1,1,20.5,23.1
2015:12:01:19:43:58,-0.1,0.1,1,20.5,23.1
2015:12:01:19:43:58,-0.1,0.1,1,20.5,23.1
2015:12:01:19:44:00,-0.1,0.1,1,19.5,23.1
2015:12:01:19:44:00,-0.1,0.1,1,19.5,23.1
2015:12:01:19:44:00,-0.1,0.1,1,19.5,23.1
2015:12:01:19:44:00,-0.1,0.1,1,19.5,23.1
2015:12:01:19:44:00,-0.1,0.1,1,19.5,23.1
2015:12:01:19:44:00,-0.1,0.1,1,19.5,23.1
2015:12:01:19:44:00,-0.1,0.1,1,19.5,23.1
2015:12:01:19:44:00,-0.1,0.1,1,19.5,23.1
2015:12:01:19:44:01,-0.1,0.1,1,19.2,23.1
2015:12:01:19:44:01,-0.1,0.1,1,19.2,23.1
2015:12:01:19:44:01,-0.1,0.1,1,19.2,23.1
2015:12:01:19:44:01,-0.1,0.1,1,19.2,23.1
2015:12:01:19:44:01,-0.1,0.1,1,19.2,23.1
2015:12:01:19:44:01,-0.1,0.1,1,19.2,23.1
2015:12:01:19:44:01,-0.1,0.1,1,19.2,23.1
2015:12:01:19:44:01,-0.1,0.1,1,19.2,23.1
2015:12:01:19:44:01,-0.1,0.1,0.2,22,23.1
2015:12:01:19:44:01,-0.1,0.1,0.2,22,23.1
2015:12:01:19:44:01,-0.1,0.1,0.2,22,23.1
2015:12:01:19:44:01,-0.1,0.1,0.2,22,23.1
2015:12:01:19:44:01,-0.1,0.1,0.2,22,23.1
2015:12:01:19:44:01,-0.1,0.1,0.2,22,23.1
2015:12:01:19:44:01,-0.1,0.1,0.2,22,23.1
2015:12:01:19:44:01,-0.1,0.1,0.2,22,23.1
2015:12:01:19:44:02,-0.1,-1.2,0.1,26.5,23.1
2015:12:01:19:44:02,-0.1,-1.2,0.1,26.5,23.1
2015:12:01:19:44:02,-0.1,-1.2,0.1,26.5,23.1
2015:12:01:19:44:02,-0.1,-1.2,0.1,26.5,23.1
2015:12:01:19:44:02,-0.1,-1.2,0.1,26.5,23.1
2015:12:01:19:44:02,-0.1,-1.2,0.1,26.5,23.1
2015:12:01:19:44:02,-0.1,-1.2,0.1,26.5,23.1
2015:12:01:19:44:02,-0.1,-1.2,0.1,26.5,23.1
2015:12:01:19:44:04,-0.1,-1.1,0.1,23.5,23.1
2015:12:01:19:44:04,-0.1,-1.1,0.1,23.5,23.1
2015:12:01:19:44:04,-0.1,-1.1,0.1,23.5,23.1
2015:12:01:19:44:04,-0.1,-1.1,0.1,23.5,23.1
2015:12:01:19:44:04,-0.1,-1.1,0.1,23.5,23.1
2015:12:01:19:44:04,-0.1,-1.1,0.1,23.5,23.1
2015:12:01:19:44:04,-0.1,-1.1,0.1,23.5,23.1
2015:12:01:19:44:04,-0.1,-1.1,0.1,23.5,23.1
2015:12:01:19:44:05,-0.1,-1,0.1,19.9,23.1
2015:12:01:19:44:05,-0.1,-1,0.1,19.9,23.1
2015:12:01:19:44:05,-0.1,-1,0.1,19.9,23.1
2015:12:01:19:44:05,-0.1,-1,0.1,19.9,23.1
2015:12:01:19:44:05,-0.1,-1,0.1,19.9,23.1
2015:12:01:19:44:05,-0.1,-1,0.1,19.9,23.1
2015:12:01:19:44:05,-0.1,-1,0.1,19.9,23.1
2015:12:01:19:44:05,-0.1,-1,0.1,19.9,23.1
2015:12:01:19:44:05,-0.1,-0.9,0.1,20.5,23.1
2015:12:01:19:44:05,-0.1,-0.9,0.1,20.5,23.1
2015:12:01:19:44:05,-0.1,-0.9,0.1,20.5,23.1
2015:12:01:19:44:05,-0.1,-0.9,0.1,20.5,23.1
2015:12:01:19:44:05,-0.1,-0.9,0.1,20.5,23.1
2015:12:01:19:44:05,-0.1,-0.9,0.1,20.5,23.1
2015:12:01:19:44:05,-0.1,-0.9,0.1,20.5,23.1
2015:12:01:19:44:05,-0.1,-0.9,0.1,20.5,23.1
2015:12:01:19:44:06,0,-1,1,21.8,23.1
2015:12:01:19:44:06,0,-1,1,21.8,23.1
2015:12:01:19:44:06,0,-1,1,21.8,23.1
2015:12:01:19:44:06,0,-1,1,21.8,23.1
2015:12:01:19:44:06,0,-1,1,21.8,23.1
2015:12:01:19:44:06,0,-1,1,21.8,23.1
2015:12:01:19:44:06,0,-1,1,21.8,23.1
2015:12:01:19:44:06,0,-1,1,21.8,23.1
2015:12:01:19:44:07,-0.1,0.1,1,23.4,23.1
2015:12:01:19:44:07,-0.1,0.1,1,23.4,23.1
2015:12:01:19:44:07,-0.1,0.1,1,23.4,23.1
2015:12:01:19:44:07,-0.1,0.1,1,23.4,23.1
2015:12:01:19:44:07,-0.1,0.1,1,23.4,23.1
